Lab,Tester_Id,Exp,PVS,Scene,Camera,OS,Timestamp,Camera_w_ver,Orientation
agh,267,ccriq2,PipesNight_D_tab_1mp.JPG,PipesNight,D,1,2017-12-04 15:36:44,Dver1,
agh,275,ccriq2,PipesNight_K_dslr_8mp.JPG,PipesNight,K,3,2017-12-04 15:36:45,Kver1,
agh,268,ccriq2,DenverBotanicGardensRocks_D_tab_1mp.JPG,DenverBotanicGardensRocks,D,1,2017-12-04 15:36:46,Dver1,
agh,271,ccriq2,Senior_N_phon_8mp.jpg,Senior,N,1,2017-12-04 15:36:46,Nver1,
agh,266,ccriq2,PipesNight_Q_phon_13mp.jpg,PipesNight,Q,2,2017-12-04 15:36:46,Qver1,
agh,282,ccriq2,BouquetPastel_L_phon_8mp.JPG,BouquetPastel,L,3,2017-12-04 15:36:46,Lver1,
agh,270,ccriq2,PipesNight_K_dslr_8mp.JPG,PipesNight,K,3,2017-12-04 15:36:46,Kver1,
agh,275,ccriq2,DenverBotanicGardensRocks_I_phon_5mp.jpg,DenverBotanicGardensRocks,I,3,2017-12-04 15:36:48,Iver1,
agh,270,ccriq2,PipesNight_Q_phon_13mp.jpg,PipesNight,Q,1,2017-12-04 15:36:48,Qver1,
agh,282,ccriq2,BouquetPastel_O_compct_8mp.JPG,BouquetPastel,O,4,2017-12-04 15:36:48,Over1,
agh,267,ccriq2,DenverBotanicGardensRocks_H_phon_5mp.jpg,DenverBotanicGardensRocks,H,4,2017-12-04 15:36:49,Hver1,
agh,269,ccriq2,BouquetPastel_U_dslr_13mp.JPG,BouquetPastel,U,4,2017-12-04 15:36:49,Uver1,
agh,262,ccriq2,DenverBotanicGardensRocks_M_phon_8mp.JPG,DenverBotanicGardensRocks,M,5,2017-12-04 15:36:49,Mver1,
agh,266,ccriq2,DenverBotanicGardensRocks_S_phon_13mp.jpg,DenverBotanicGardensRocks,S,2,2017-12-04 15:36:49,Sver1,
agh,265,ccriq2,Senior_V_phon_20mp.jpg,Senior,V,4,2017-12-04 15:36:49,Vver1,
agh,259,ccriq2,BouquetPastel_R_phon_13mp.jpg,BouquetPastel,R,2,2017-12-04 15:36:50,Rver1,
agh,275,ccriq2,DenverBotanicGardensRocks_E_compct_5mp.JPG,DenverBotanicGardensRocks,E,3,2017-12-04 15:36:50,Ever1,
agh,270,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,1,2017-12-04 15:36:51,Bver1,
agh,282,ccriq2,DenverBotanicGardensRocks_Q_phon_13mp.jpg,DenverBotanicGardensRocks,Q,3,2017-12-04 15:36:51,Qver1,
agh,264,ccriq2,Senior_E_compct_5mp.JPG,Senior,E,2,2017-12-04 15:36:51,Ever1,
agh,262,ccriq2,PipesNight_D_tab_1mp.JPG,PipesNight,D,1,2017-12-04 15:36:51,Dver1,
agh,267,ccriq2,DenverBotanicGardensRocks_A_phon_1mp.jpg,DenverBotanicGardensRocks,A,1,2017-12-04 15:36:52,Aver1,
agh,263,ccriq2,DenverBotanicGardensRocks_J_tab_5mp.JPG,DenverBotanicGardensRocks,J,3,2017-12-04 15:36:52,Jver1,
agh,268,ccriq2,PipesNight_I_phon_5mp.jpg,PipesNight,I,3,2017-12-04 15:36:52,Iver1,
agh,271,ccriq2,BouquetPastel_S_phon_13mp.jpg,BouquetPastel,S,3,2017-12-04 15:36:52,Sver1,
